RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         2660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  279 1888     0     0  con    4  4.5D+00  4.8D-01  7.138D-04        NaN
  280 1896     0     0  con    7  5.1D-01  2.1D-01  6.449D-04        NaN
  281 1901     0     0  con    4  3.9D-01  8.0D-02  6.177D-04        NaN
  282 1906     0     0  con    4  1.7D+00  2.4D-01  6.823D-04        NaN
  283 1924     0     0  con   17  1.6D+00  3.7D-01  5.981D-04        NaN
  284 1928     0     0  con    3  9.6D-01  1.7D-01  7.653D-04        NaN
  285 1933     0     0  con    4  1.8D+00  4.4D-01  6.128D-04        NaN
  286 1937     0     0  con    3  7.1D-01  9.0D-02  5.815D-04        NaN
  287 1940     0     0  con    2  9.3D-01  1.3D-01  6.572D-04        NaN
  288 1953     0     0  con   12  1.6D+00  1.9D-01  6.632D-04        NaN
  289 1957     0     0  con    3  8.3D-01  1.1D-01  7.018D-04        NaN
  290 1976     0     0  con   18  6.5D+00  2.5D-01  5.610D-04        NaN
  291 1983     0     0  con    6  1.6D+00  2.0D-01  4.727D-04        NaN
  292 1998     0     0  con   14  2.3D+00  2.5D-01  4.282D-04        NaN
  293 2022     1     0  ---    3  1.0D+00  2.8D-03  4.252D-04        NaN
  294 2038     0     0  con   15  9.8D+00  2.0D-02  3.978D-04        NaN
  295 2057     0     0  con   18  6.5D+00  5.0D-02  3.255D-04        NaN
  296 2062     0     0  con    4  2.7D+00  4.0D-02  2.975D-04        NaN
  297 2071     0     0  con    8  2.3D+00  5.7D-02  2.598D-04        NaN
  298 2077     0     0  con    5  2.4D+00  4.8D-02  2.649D-04        NaN
  299 2091     0     0  con   13  7.1D+00  3.3D-01  3.499D-04        NaN
  300 2095     0     0  con    3  9.6D-01  6.6D-02  3.442D-04        NaN
  301 2101     0     0  con    5  2.5D+00  7.6D-02  2.903D-04        NaN
  302 2110     0     0  con    8  2.4D+00  1.0D-01  3.441D-04        NaN
  303 2115     0     0  con    4  4.5D+00  5.2D-01  1.026D-03        NaN
  304 2120     0     0  con    4  4.1D-02  7.1D-02  1.081D-03        NaN
  305 2125     0     0  con    4  2.6D-01  3.5D-02  1.345D-03        NaN
  306 2137     0     0  con   11  1.5D+00  1.3D-01  7.205D-04        NaN
  307 2142     0     0  con    4  1.5D+00  6.1D-02  7.117D-04        NaN
  308 2147     0     0  con    4  3.1D+00  1.0D-01  9.105D-04        NaN
  309 2152     0     0  con    4  2.3D+00  5.3D-02  7.793D-04        NaN
  310 2158     0     0  con    5  2.4D+00  5.4D-02  4.117D-04        NaN
  311 2164     0     0  con    5  3.2D+00  7.2D-02  4.056D-04        NaN
  312 2179     0     0  con   14  2.4D+00  7.2D-02  2.434D-04        NaN
  313 2194     0     0  con   14  2.4D+00  5.8D-02  2.752D-04        NaN
  314 2204     0     0  con    9  2.1D+00  6.9D-02  3.291D-04        NaN
  315 2209     0     0  con    4  1.5D+00  4.6D-02  2.389D-04        NaN
  316 2215     0     0  con    5  5.8D+00  1.1D-01  2.452D-04        NaN
  317 2234     0     0  con   18  5.9D+00  3.3D-01  2.457D-04        NaN
  318 2249     0     0  con   14  1.8D+00  1.6D-01  2.331D-04        NaN
